類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號,類別,編號
女性衣著,62,美妝保健,67,嬰幼童與母親,100,居家生活,73,女生配件,2580,女鞋,64,女生包包/精品,65,美食、伴手禮,66,寵物,1657,服務、票卷,74,其他類別,68,男生衣著,63,手機平板與周邊,70,3C與筆電,69,家庭影音,71,男生包包與配件,1837,男鞋,1859,戶外與運動用品,1611,汽機車零件百貨,10076,娛樂、收藏,75,遊戲王,72,書籍及文創商品,10000067
子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號,子類別,編號
大尺碼,11935,,,,,樂齡居家,21104,其他,2592,,,,,,,,,,,,,,,穿戴裝置,16765,,,,,,,,,,,,,,,,,商業理財書籍,10000084
,,,,,,,,流行腳鍊,10000010,,,,,,,,,,,,,,,拍照周邊,16764,,,,,,,,,,,,,,,,,心理勵志書籍,10000085
,,,,,,,,,,,,,,,,,,,,,,,,平板周邊,10000015,,,,,,,,,,,,,,,,,限制級書刊,10000086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文化創意周邊,10000087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
